Epoch,trainLoss,validationLoss,validationAccuracy
9,0.7691227197647095,0.782797634601593,0.45
19,0.7583118081092834,0.7673343420028687,0.45
29,0.7458365559577942,0.749911904335022,0.5
39,0.7331603765487671,0.7323784232139587,0.475
49,0.7207750082015991,0.7153541445732117,0.55
59,0.7088333964347839,0.6990276575088501,0.55
69,0.6973704695701599,0.6834366917610168,0.6
79,0.6863796710968018,0.6685676574707031,0.625
89,0.6758431196212769,0.6543902158737183,0.675
99,0.6657376885414124,0.6408693194389343,0.675
109,0.6560405492782593,0.6279693841934204,0.7
119,0.6467306613922119,0.6156564354896545,0.7
129,0.6377855539321899,0.6038976311683655,0.7
139,0.6291866302490234,0.5926617980003357,0.7
149,0.6209142804145813,0.5819197297096252,0.7
159,0.6129512786865234,0.5716438293457031,0.725
169,0.6052818298339844,0.5618079900741577,0.75
179,0.5978901386260986,0.5523876547813416,0.75
189,0.5907613039016724,0.5433598756790161,0.75
199,0.583882212638855,0.5347031950950623,0.775
209,0.5772401690483093,0.5263970494270325,0.775
219,0.5708231925964355,0.5184222459793091,0.8
229,0.5646203756332397,0.5107611417770386,0.825
239,0.558620810508728,0.5033968687057495,0.825
249,0.5528150796890259,0.4963136613368988,0.825
259,0.5471941232681274,0.48949670791625977,0.825
269,0.5417484641075134,0.48293209075927734,0.825
279,0.5364705324172974,0.4766067564487457,0.825
289,0.5313531756401062,0.4705085754394531,0.825
299,0.5263886451721191,0.46462616324424744,0.825
309,0.5215703845024109,0.45894843339920044,0.825
319,0.5168919563293457,0.4534655511379242,0.825
329,0.5123475790023804,0.44816794991493225,0.825
339,0.5079314708709717,0.443046510219574,0.85
349,0.5036381483078003,0.4380929470062256,0.85
359,0.49946314096450806,0.43329939246177673,0.85
369,0.49540114402770996,0.4286583364009857,0.875
379,0.4914478659629822,0.42416277527809143,0.875
389,0.48759928345680237,0.41980600357055664,0.875
399,0.4838508665561676,0.41558194160461426,0.875
409,0.4801991581916809,0.41148462891578674,0.875
419,0.47664040327072144,0.4075084626674652,0.875
429,0.47317156195640564,0.4036482870578766,0.9
439,0.46978887915611267,0.39989906549453735,0.9
449,0.4664892256259918,0.3962561786174774,0.9
459,0.4632700979709625,0.39271512627601624,0.9
469,0.46012812852859497,0.3892717957496643,0.9
479,0.45706120133399963,0.38592201471328735,0.9
489,0.45406612753868103,0.382662296295166,0.9
499,0.4511408805847168,0.37948885560035706,0.9
509,0.44828304648399353,0.37639838457107544,0.9
519,0.44549041986465454,0.3733876347541809,0.9
529,0.44276052713394165,0.37045344710350037,0.9
539,0.440091609954834,0.36759310960769653,0.9
549,0.43748173117637634,0.3648037314414978,0.9
559,0.4349291920661926,0.36208266019821167,0.9
569,0.4324316084384918,0.3594275116920471,0.9
579,0.42998766899108887,0.35683581233024597,0.9
589,0.42759576439857483,0.3543052077293396,0.9
599,0.4252539575099945,0.3518337309360504,0.9
609,0.4229612350463867,0.34941914677619934,0.9
619,0.4207157492637634,0.34705954790115356,0.9
629,0.4185159206390381,0.3447529971599579,0.9
639,0.41636091470718384,0.34249764680862427,0.9
649,0.41424888372421265,0.3402920067310333,0.9
659,0.4121791422367096,0.33813416957855225,0.9
669,0.4101499617099762,0.3360227644443512,0.9
679,0.40816035866737366,0.33395615220069885,0.9
689,0.40620937943458557,0.3319328725337982,0.9
699,0.40429553389549255,0.32995158433914185,0.9
709,0.40241819620132446,0.3280109167098999,0.9
719,0.4005763530731201,0.32610973715782166,0.9
729,0.39876848459243774,0.32424670457839966,0.9
739,0.39699429273605347,0.3224206566810608,0.9
749,0.3952524662017822,0.3206304907798767,0.9
759,0.3935423493385315,0.31887510418891907,0.9
769,0.3918631672859192,0.3171535134315491,0.9
779,0.3902137875556946,0.31546464562416077,0.9
789,0.38859373331069946,0.3138076663017273,0.9
799,0.387002170085907,0.3121815323829651,0.9
809,0.3854380249977112,0.3105853796005249,0.9
819,0.3839009404182434,0.30901843309402466,0.9
829,0.3823900520801544,0.30747973918914795,0.9
839,0.38090506196022034,0.30596864223480225,0.9
849,0.3794448673725128,0.3044842481613159,0.9
859,0.37800902128219604,0.303026020526886,0.9
869,0.37659695744514465,0.30159300565719604,0.9
879,0.37520816922187805,0.3001846671104431,0.9
889,0.37384167313575745,0.29880034923553467,0.9
899,0.37249740958213806,0.2974393963813782,0.9
909,0.37117451429367065,0.2961011826992035,0.9
919,0.3698727786540985,0.29478514194488525,0.9
929,0.3685915768146515,0.2934906780719757,0.9
939,0.3673302233219147,0.2922171950340271,0.9
949,0.36608847975730896,0.290964275598526,0.925
959,0.36486586928367615,0.28973129391670227,0.925
969,0.36366206407546997,0.28851786255836487,0.925
979,0.3624761998653412,0.2873234152793884,0.925
989,0.36130812764167786,0.28614750504493713,0.925
999,0.3601575791835785,0.2849896550178528,0.925
1009,0.3590240478515625,0.2838495075702667,0.925
1019,0.3579070270061493,0.282726526260376,0.925
1029,0.35680627822875977,0.28162044286727905,0.925
1039,0.3557214140892029,0.28053075075149536,0.925
1049,0.3546520173549652,0.2794570326805115,0.925
1059,0.35359787940979004,0.2783990502357483,0.925
1069,0.3525587022304535,0.2773563265800476,0.925
1079,0.35153406858444214,0.2763286828994751,0.925
1089,0.35052359104156494,0.275315523147583,0.925
1099,0.3495270609855652,0.27431678771972656,0.925
1109,0.34854426980018616,0.27333202958106995,0.925
1119,0.3475748896598816,0.27236080169677734,0.925
1129,0.3466183841228485,0.27140307426452637,0.925
1139,0.34567493200302124,0.27045831084251404,0.925
1149,0.3447439968585968,0.2695264220237732,0.925
1159,0.3438251316547394,0.26860707998275757,0.925
1169,0.3429184854030609,0.2676999270915985,0.925
1179,0.3420235216617584,0.2668047845363617,0.925
1189,0.34114018082618713,0.265921413898468,0.925
1199,0.3402682840824127,0.2650494873523712,0.925
1209,0.33940741419792175,0.26418885588645935,0.925
1219,0.3385573923587799,0.26333925127983093,0.925
1229,0.33771812915802,0.26250046491622925,0.925
1239,0.3368891775608063,0.2616721987724304,0.925
1249,0.3360706567764282,0.26085442304611206,0.925
1259,0.33526208996772766,0.26004672050476074,0.925
1269,0.33446359634399414,0.2592489719390869,0.925
1279,0.33367475867271423,0.258461058139801,0.925
1289,0.33289527893066406,0.2576826810836792,0.925
1299,0.33212515711784363,0.25691381096839905,0.925
1309,0.3313644528388977,0.25615400075912476,0.925
1319,0.3306123912334442,0.2554033398628235,0.925
1329,0.32986944913864136,0.254661500453949,0.925
1339,0.32913488149642944,0.2539283335208893,0.925
1349,0.3284091651439667,0.25320371985435486,0.925
1359,0.32769155502319336,0.2524874806404114,0.925
1369,0.32698243856430054,0.2517794966697693,0.925
1379,0.32628098130226135,0.2510794997215271,0.925
1389,0.3255876898765564,0.2503875195980072,0.925
1399,0.32490214705467224,0.24970321357250214,0.925
1409,0.3242242932319641,0.2490266114473343,0.925
1419,0.32355397939682007,0.24835750460624695,0.925
1429,0.322890967130661,0.24769580364227295,0.925
1439,0.3222350776195526,0.24704131484031677,0.925
1449,0.32158663868904114,0.24639394879341125,0.925
1459,0.32094496488571167,0.24575355648994446,0.925
1469,0.3203103840351105,0.24512001872062683,0.925
1479,0.31968244910240173,0.2444932758808136,0.925
1489,0.31906118988990784,0.24387308955192566,0.925
1499,0.31844648718833923,0.2432594746351242,0.925
1509,0.31783822178840637,0.2426522970199585,0.925
1519,0.31723636388778687,0.2420514076948166,0.925
1529,0.3166407644748688,0.24145665764808655,0.925
1539,0.3160512447357178,0.24086806178092957,0.925
1549,0.31546780467033386,0.2402854710817337,0.925
1559,0.31489020586013794,0.23970873653888702,0.925
1569,0.31431856751441956,0.23913785815238953,0.925
1579,0.3137526214122772,0.2385726422071457,0.925
1589,0.3131924271583557,0.23801307380199432,0.95
1599,0.3126376271247864,0.2374589443206787,0.95
1609,0.3120887279510498,0.23691034317016602,0.95
1619,0.3115447163581848,0.23636707663536072,0.95
1629,0.3110063076019287,0.23582907021045685,0.95
1639,0.31047317385673523,0.23529621958732605,0.95
1649,0.30994510650634766,0.23476850986480713,0.95
1659,0.30942225456237793,0.23424585163593292,0.95
1669,0.308904230594635,0.23372812569141388,0.95
1679,0.3083912432193756,0.23321521282196045,0.95
1689,0.3078831434249878,0.23270714282989502,0.95
1699,0.307379812002182,0.23220381140708923,0.95
1709,0.3068811595439911,0.23170514404773712,0.95
1719,0.3063872456550598,0.23121103644371033,0.95
1729,0.30589789152145386,0.23072142899036407,0.95
1739,0.30541303753852844,0.23023632168769836,0.95
1749,0.30493244528770447,0.22975556552410126,0.95
1759,0.3044564127922058,0.22927913069725037,0.95
1769,0.30398470163345337,0.2288070023059845,0.95
1779,0.30351734161376953,0.2283390462398529,0.95
1789,0.3030540347099304,0.22787520289421082,0.95
1799,0.30259498953819275,0.22741547226905823,0.95
1809,0.3021399974822998,0.2269597053527832,0.95
1819,0.30168893933296204,0.2265079915523529,0.95
1829,0.3012419641017914,0.22606012225151062,0.95
1839,0.3007988929748535,0.22561609745025635,0.95
1849,0.3003596365451813,0.22517594695091248,0.95
1859,0.29992419481277466,0.22473947703838348,0.95
1869,0.29949259757995605,0.22430670261383057,0.95
1879,0.29906466603279114,0.22387762367725372,0.95
1889,0.2986404299736023,0.22345209121704102,0.95
1899,0.2982197105884552,0.22303016483783722,0.95
1909,0.2978026270866394,0.2226116955280304,0.95
1919,0.2973889410495758,0.22219665348529816,0.95
1929,0.2969788610935211,0.2217850238084793,0.95
1939,0.29657217860221863,0.22137682139873505,0.95
1949,0.2961690127849579,0.22097189724445343,0.95
1959,0.29576894640922546,0.22057025134563446,0.95
1969,0.29537233710289,0.22017188370227814,0.95
1979,0.2949789762496948,0.21977660059928894,0.95
1989,0.2945888042449951,0.2193845510482788,0.95
1999,0.29420167207717896,0.2189955711364746,0.95
2009,0.29381778836250305,0.21860964596271515,0.95
2019,0.2934369444847107,0.21822674572467804,0.95
2029,0.2930592894554138,0.21784687042236328,0.95
2039,0.29268455505371094,0.2174699604511261,0.95
2049,0.29231271147727966,0.21709589660167694,0.95
2059,0.29194390773773193,0.21672478318214417,0.95
2069,0.2915780544281006,0.21635644137859344,0.95
2079,0.2912149727344513,0.21599093079566956,0.95
2089,0.2908547818660736,0.2156282216310501,0.95
2099,0.2904972732067108,0.21526822447776794,0.95
2109,0.290142685174942,0.21491095423698425,0.95
2119,0.2897907495498657,0.21455636620521545,0.95
2129,0.28944164514541626,0.2142043560743332,0.95
2139,0.28909507393836975,0.21385499835014343,0.95
2149,0.28875118494033813,0.2135082185268402,0.95
2159,0.28840985894203186,0.21316400170326233,0.95
2169,0.2880711853504181,0.21282228827476501,0.95
2179,0.2877350449562073,0.21248307824134827,0.95
2189,0.28740134835243225,0.21214625239372253,0.95
2199,0.2870701849460602,0.21181192994117737,0.95
2209,0.2867414355278015,0.21147997677326202,0.95
2219,0.286415159702301,0.2111504077911377,0.95
2229,0.28609126806259155,0.2108231484889984,0.95
2239,0.2857697606086731,0.21049828827381134,0.975
2249,0.2854505777359009,0.21017563343048096,0.975
2259,0.2851337790489197,0.20985528826713562,0.975
2269,0.28481921553611755,0.20953711867332458,0.975
2279,0.2845068871974945,0.2092212438583374,0.975
2289,0.2841968536376953,0.20890755951404572,0.975
2299,0.2838890552520752,0.20859596133232117,0.975
2309,0.28358346223831177,0.2082865685224533,0.975
2319,0.2832798957824707,0.20797929167747498,0.975
